athlete_id,filename,technique,condition,trial,source_path,n_points,n_frames,rate_hz,units_pos,units_angle,units_force,units_moment,units_power,analog_used,n_anatomical,n_derived,n_tarcza,n_prefixed,subjects,prefixes
B0377,2017-02-20-B0377-S04-E04-T01.c3d,S04,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S04\2017-02-20-B0377-S04-E04-T01.c3d,382,1992,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
B0377,2017-02-20-B0377-S04-E04-T02.c3d,S04,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S04\2017-02-20-B0377-S04-E04-T02.c3d,382,1808,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
B0377,2017-02-20-B0377-S05-E01-T01.c3d,S05,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S05\2017-02-20-B0377-S05-E01-T01.c3d,191,2636,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S05-E01-T02.c3d,S05,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S05\2017-02-20-B0377-S05-E01-T02.c3d,191,2262,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S05-E02-T01.c3d,S05,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S05\2017-02-20-B0377-S05-E02-T01.c3d,195,2387,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S05-E02-T02.c3d,S05,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S05\2017-02-20-B0377-S05-E02-T02.c3d,195,2250,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S05-E03-T01.c3d,S05,E03,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S05\2017-02-20-B0377-S05-E03-T01.c3d,382,2828,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S05-E03-T02.c3d,S05,E03,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S05\2017-02-20-B0377-S05-E03-T02.c3d,382,2430,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S05-E04-T01.c3d,S05,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S05\2017-02-20-B0377-S05-E04-T01.c3d,382,2856,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
B0377,2017-02-20-B0377-S05-E04-T02.c3d,S05,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S05\2017-02-20-B0377-S05-E04-T02.c3d,382,2539,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
